"site","overflow","datetime","after.9.am","precipm","precipi"
"Newtown Creek",FALSE,2011-08-14 00:00:00,FALSE,1,0.04
"Newtown Creek",FALSE,2011-08-14 01:00:00,FALSE,0,0
"Newtown Creek",FALSE,2011-08-14 02:00:00,FALSE,1.3,0.05
"Newtown Creek",FALSE,2011-08-14 03:00:00,FALSE,32.5,1.28
"Newtown Creek",FALSE,2011-08-14 04:00:00,FALSE,1.8,0.07
"Newtown Creek",FALSE,2011-08-14 05:00:00,FALSE,7.4,0.29
"Newtown Creek",FALSE,2011-08-14 06:00:00,FALSE,16.5,0.65
"Newtown Creek",FALSE,2011-08-14 07:00:00,FALSE,12.2,0.48
"Newtown Creek",FALSE,2011-08-14 08:00:00,FALSE,5.6,0.22
"Newtown Creek",FALSE,2011-08-14 09:00:00,FALSE,0.3,0.01
"Newtown Creek",FALSE,2011-08-14 10:00:00,TRUE,4.3,0.17
"Newtown Creek",FALSE,2011-08-14 11:00:00,TRUE,10.9,0.43
"Newtown Creek",FALSE,2011-08-14 12:00:00,TRUE,4.8,0.19
"Newtown Creek",FALSE,2011-08-14 13:00:00,TRUE,1,0.04
"Newtown Creek",FALSE,2011-08-14 14:00:00,TRUE,0.3,0.01
"Newtown Creek",TRUE,2011-08-14 15:00:00,TRUE,5.1,0.2
"Newtown Creek",TRUE,2011-08-14 16:00:00,TRUE,0.5,0.02
"Newtown Creek",TRUE,2011-08-14 17:00:00,TRUE,2.5,0.1
"Newtown Creek",TRUE,2011-08-14 18:00:00,TRUE,2,0.08
"Newtown Creek",TRUE,2011-08-14 19:00:00,TRUE,3.3,0.13
"Newtown Creek",TRUE,2011-08-14 20:00:00,TRUE,0.5,0.02
"Newtown Creek",TRUE,2011-08-14 21:00:00,TRUE,0.5,0.02
"Newtown Creek",TRUE,2011-08-14 22:00:00,TRUE,1.5,0.06
"Newtown Creek",TRUE,2011-08-14 23:00:00,TRUE,13.2,0.52
"Newtown Creek",TRUE,2011-08-15 00:00:00,FALSE,0.3,0.01
"Newtown Creek",TRUE,2011-08-15 01:00:00,FALSE,0.3,0.01
"Newtown Creek",TRUE,2011-08-15 02:00:00,FALSE,0.3,0.01
"Newtown Creek",TRUE,2011-08-15 03:00:00,FALSE,0.3,0.01
"Newtown Creek",TRUE,2011-08-15 04:00:00,FALSE,0.3,0.01
"Newtown Creek",TRUE,2011-08-15 05:00:00,FALSE,0.3,0.01
"Newtown Creek",TRUE,2011-08-15 06:00:00,FALSE,0.3,0.01
"Newtown Creek",TRUE,2011-08-15 07:00:00,FALSE,0.3,0.01
"Newtown Creek",TRUE,2011-08-15 08:00:00,FALSE,0.3,0.01
"Newtown Creek",TRUE,2011-08-15 09:00:00,FALSE,0.3,0.01
"Newtown Creek",TRUE,2011-08-15 10:00:00,TRUE,0.3,0.01
"Newtown Creek",TRUE,2011-08-15 11:00:00,TRUE,0,0
"Newtown Creek",TRUE,2011-08-15 12:00:00,TRUE,0,0
"Newtown Creek",TRUE,2011-08-15 13:00:00,TRUE,0,0
"Newtown Creek",TRUE,2011-08-15 14:00:00,TRUE,0,0
"Newtown Creek",TRUE,2011-08-15 15:00:00,TRUE,0,0
"Newtown Creek",TRUE,2011-08-15 16:00:00,TRUE,1,0.04
"Newtown Creek",TRUE,2011-08-15 17:00:00,TRUE,4.3,0.17
"Newtown Creek",FALSE,2011-08-15 18:00:00,TRUE,11.9,0.47
"Newtown Creek",FALSE,2011-08-15 19:00:00,TRUE,11.9,0.47
"Newtown Creek",FALSE,2011-08-15 20:00:00,TRUE,11.9,0.47
"Newtown Creek",FALSE,2011-08-15 21:00:00,TRUE,11.9,0.47
"Newtown Creek",FALSE,2011-08-15 22:00:00,TRUE,11.9,0.47
"Newtown Creek",FALSE,2011-08-15 23:00:00,TRUE,11.9,0.47
"Newtown Creek",FALSE,2011-08-16 00:00:00,FALSE,11.9,0.47
"Newtown Creek",FALSE,2011-08-27 00:00:00,FALSE,11.9,0.47
"Newtown Creek",FALSE,2011-08-27 01:00:00,FALSE,11.9,0.47
"Newtown Creek",FALSE,2011-08-27 02:00:00,FALSE,11.9,0.47
"Newtown Creek",FALSE,2011-08-27 03:00:00,FALSE,11.9,0.47
"Newtown Creek",FALSE,2011-08-27 04:00:00,FALSE,11.9,0.47
"Newtown Creek",FALSE,2011-08-27 05:00:00,FALSE,0,0
"Newtown Creek",FALSE,2011-08-27 06:00:00,FALSE,0,0
"Newtown Creek",FALSE,2011-08-27 07:00:00,FALSE,0,0
"Newtown Creek",FALSE,2011-08-27 08:00:00,FALSE,0,0
"Newtown Creek",FALSE,2011-08-27 09:00:00,FALSE,0,0
