site,start_date,hour,overflow
Newtown Creek,8/14/2011,0,no
Newtown Creek,8/14/2011,1,no
Newtown Creek,8/14/2011,2,no
Newtown Creek,8/14/2011,3,no
Newtown Creek,8/14/2011,4,no
Newtown Creek,8/14/2011,5,no
Newtown Creek,8/14/2011,6,no
Newtown Creek,8/14/2011,7,no
Newtown Creek,8/14/2011,8,no
Newtown Creek,8/14/2011,9,no
Newtown Creek,8/14/2011,10,no
Newtown Creek,8/14/2011,11,no
Newtown Creek,8/14/2011,12,no
Newtown Creek,8/14/2011,13,no
Newtown Creek,8/14/2011,14,no
Newtown Creek,8/14/2011,15,yes
Newtown Creek,8/14/2011,16,yes
Newtown Creek,8/14/2011,17,yes
Newtown Creek,8/14/2011,18,yes
Newtown Creek,8/14/2011,19,yes
Newtown Creek,8/14/2011,20,yes
Newtown Creek,8/14/2011,21,yes
Newtown Creek,8/14/2011,22,yes
Newtown Creek,8/14/2011,23,yes
Newtown Creek,8/14/2011,24,yes
Newtown Creek,8/14/2011,25,yes
Newtown Creek,8/14/2011,26,yes
Newtown Creek,8/14/2011,27,yes
Newtown Creek,8/14/2011,28,yes
Newtown Creek,8/14/2011,29,yes
Newtown Creek,8/14/2011,30,yes
Newtown Creek,8/14/2011,31,yes
Newtown Creek,8/14/2011,32,yes
Newtown Creek,8/14/2011,33,yes
Newtown Creek,8/14/2011,34,yes
Newtown Creek,8/14/2011,35,yes
Newtown Creek,8/14/2011,36,yes
Newtown Creek,8/14/2011,37,yes
Newtown Creek,8/14/2011,38,yes
Newtown Creek,8/14/2011,39,yes
Newtown Creek,8/14/2011,40,yes
Newtown Creek,8/14/2011,41,yes
Newtown Creek,8/14/2011,42,no
Newtown Creek,8/14/2011,43,no
Newtown Creek,8/14/2011,44,no
Newtown Creek,8/14/2011,45,no
Newtown Creek,8/14/2011,46,no
Newtown Creek,8/14/2011,47,no
Newtown Creek,8/14/2011,48,no
Newtown Creek,8/27/2011,0,no
Newtown Creek,8/27/2011,1,no
Newtown Creek,8/27/2011,2,no
Newtown Creek,8/27/2011,3,no
Newtown Creek,8/27/2011,4,no
Newtown Creek,8/27/2011,5,no
Newtown Creek,8/27/2011,6,no
Newtown Creek,8/27/2011,7,no
Newtown Creek,8/27/2011,8,no
Newtown Creek,8/27/2011,9,no
Newtown Creek,8/27/2011,10,no
Newtown Creek,8/27/2011,11,no
Newtown Creek,8/27/2011,12,no
Newtown Creek,8/27/2011,13,no
Newtown Creek,8/27/2011,14,no
Newtown Creek,8/27/2011,15,no
Newtown Creek,8/27/2011,16,no
Newtown Creek,8/27/2011,17,no
Newtown Creek,8/27/2011,18,no
Newtown Creek,8/27/2011,19,no
Newtown Creek,8/27/2011,20,yes
Newtown Creek,8/27/2011,21,yes
Newtown Creek,8/27/2011,22,yes
Newtown Creek,8/27/2011,23,yes
Newtown Creek,8/27/2011,24,yes
Newtown Creek,8/27/2011,25,yes
Newtown Creek,8/27/2011,26,yes
Newtown Creek,8/27/2011,27,yes
Newtown Creek,8/27/2011,28,yes
Newtown Creek,8/27/2011,29,yes
Newtown Creek,8/27/2011,30,yes
Newtown Creek,8/27/2011,31,yes
Newtown Creek,8/27/2011,32,yes
Newtown Creek,8/27/2011,33,yes
Newtown Creek,8/27/2011,34,yes
Newtown Creek,8/27/2011,35,yes
Newtown Creek,8/27/2011,36,yes
Newtown Creek,8/27/2011,37,yes
Newtown Creek,8/27/2011,38,yes
Newtown Creek,8/27/2011,39,yes
Newtown Creek,8/27/2011,40,yes
Newtown Creek,8/27/2011,41,yes
Newtown Creek,8/27/2011,42,yes
Newtown Creek,8/27/2011,43,no
Newtown Creek,8/27/2011,44,no
Newtown Creek,8/27/2011,45,no
Newtown Creek,8/27/2011,46,no
Newtown Creek,8/27/2011,47,no
Newtown Creek,8/27/2011,48,no
Newtown Creek,8/27/2011,49,no
Newtown Creek,8/27/2011,50,no
Newtown Creek,8/27/2011,51,no
Newtown Creek,8/27/2011,52,no
Newtown Creek,8/27/2011,53,no
Newtown Creek,8/27/2011,54,no
Newtown Creek,8/27/2011,55,no
Newtown Creek,8/27/2011,56,no
Newtown Creek,8/27/2011,57,no
Newtown Creek,8/27/2011,58,no
Newtown Creek,8/27/2011,59,no
Newtown Creek,8/27/2011,60,no
Newtown Creek,9/6/2011,0,no
Newtown Creek,9/6/2011,1,no
Newtown Creek,9/6/2011,2,no
Newtown Creek,9/6/2011,3,no
Newtown Creek,9/6/2011,4,no
Newtown Creek,9/6/2011,5,no
Newtown Creek,9/6/2011,6,no
Newtown Creek,9/6/2011,7,no
Newtown Creek,9/6/2011,8,no
Newtown Creek,9/6/2011,9,no
Newtown Creek,9/6/2011,10,no
Newtown Creek,9/6/2011,11,no
Newtown Creek,9/6/2011,12,yes
Newtown Creek,9/6/2011,13,yes
Newtown Creek,9/6/2011,14,yes
Newtown Creek,9/6/2011,15,yes
Newtown Creek,9/6/2011,16,yes
Newtown Creek,9/6/2011,17,yes
Newtown Creek,9/6/2011,18,yes
Newtown Creek,9/6/2011,19,yes
Newtown Creek,9/6/2011,20,yes
Newtown Creek,9/6/2011,21,yes
Newtown Creek,9/6/2011,22,yes
Newtown Creek,9/6/2011,23,yes
Newtown Creek,9/6/2011,24,yes
Newtown Creek,9/6/2011,25,yes
Newtown Creek,9/6/2011,26,yes
Newtown Creek,9/6/2011,27,yes
Newtown Creek,9/6/2011,28,no
Newtown Creek,9/6/2011,29,no
Newtown Creek,9/6/2011,30,no
Newtown Creek,9/6/2011,31,no
Newtown Creek,9/6/2011,32,no
Newtown Creek,9/6/2011,33,no
Newtown Creek,9/6/2011,34,no
Newtown Creek,9/6/2011,35,no
Newtown Creek,9/6/2011,36,no
Newtown Creek,9/6/2011,37,no
Newtown Creek,9/6/2011,38,no
Newtown Creek,9/6/2011,39,no
Newtown Creek,9/6/2011,40,no
Newtown Creek,9/6/2011,41,no
Newtown Creek,9/6/2011,42,no
Newtown Creek,9/6/2011,43,no
Newtown Creek,9/6/2011,44,no
Newtown Creek,9/6/2011,45,no
Newtown Creek,9/6/2011,46,no
Newtown Creek,9/6/2011,47,no
Newtown Creek,9/6/2011,48,no
Newtown Creek,9/6/2011,49,no
Newtown Creek,9/6/2011,50,no
Newtown Creek,9/6/2011,51,no
Newtown Creek,9/6/2011,52,no
Newtown Creek,9/6/2011,53,no
Newtown Creek,9/6/2011,54,no
Newtown Creek,9/6/2011,55,no
Newtown Creek,9/6/2011,56,no
Newtown Creek,9/6/2011,57,no
Newtown Creek,9/6/2011,58,no
Newtown Creek,9/6/2011,59,no
Newtown Creek,9/6/2011,60,no
Newtown Creek,3/6/2011,0,no
Newtown Creek,3/6/2011,1,no
Newtown Creek,3/6/2011,2,no
Newtown Creek,3/6/2011,3,no
Newtown Creek,3/6/2011,4,no
Newtown Creek,3/6/2011,5,no
Newtown Creek,3/6/2011,6,no
Newtown Creek,3/6/2011,7,no
Newtown Creek,3/6/2011,8,no
Newtown Creek,3/6/2011,9,no
Newtown Creek,3/6/2011,10,no
Newtown Creek,3/6/2011,11,yes
Newtown Creek,3/6/2011,12,yes
Newtown Creek,3/6/2011,13,yes
Newtown Creek,3/6/2011,14,yes
Newtown Creek,3/6/2011,15,yes
Newtown Creek,3/6/2011,16,no
Newtown Creek,3/6/2011,17,yes
Newtown Creek,3/6/2011,18,yes
Newtown Creek,3/6/2011,19,yes
Newtown Creek,3/6/2011,20,yes
Newtown Creek,3/6/2011,21,yes
Newtown Creek,3/6/2011,22,yes
Newtown Creek,3/6/2011,23,yes
Newtown Creek,3/6/2011,24,yes
Newtown Creek,3/6/2011,25,yes
Newtown Creek,3/6/2011,26,yes
Newtown Creek,3/6/2011,27,yes
Newtown Creek,3/6/2011,28,no
Newtown Creek,3/6/2011,29,no
Newtown Creek,3/6/2011,30,no
Newtown Creek,3/6/2011,31,no
Newtown Creek,3/6/2011,32,no
Newtown Creek,3/6/2011,33,no
Newtown Creek,3/6/2011,34,no
Newtown Creek,3/6/2011,35,no
Newtown Creek,3/6/2011,36,no
Newtown Creek,3/6/2011,37,no
Newtown Creek,3/6/2011,38,no
Newtown Creek,3/6/2011,39,no
Newtown Creek,3/6/2011,40,no
Newtown Creek,3/6/2011,41,no
Newtown Creek,3/6/2011,42,no
Newtown Creek,3/6/2011,43,no
Newtown Creek,3/6/2011,44,no
Newtown Creek,3/6/2011,45,no
Newtown Creek,3/6/2011,46,no
Newtown Creek,3/6/2011,47,no
Newtown Creek,3/6/2011,48,no
Newtown Creek,4/16/2011,0,no
Newtown Creek,4/16/2011,1,no
Newtown Creek,4/16/2011,2,no
Newtown Creek,4/16/2011,3,no
Newtown Creek,4/16/2011,4,no
Newtown Creek,4/16/2011,5,no
Newtown Creek,4/16/2011,6,no
Newtown Creek,4/16/2011,7,no
Newtown Creek,4/16/2011,8,no
Newtown Creek,4/16/2011,9,no
Newtown Creek,4/16/2011,10,no
Newtown Creek,4/16/2011,11,no
Newtown Creek,4/16/2011,12,no
Newtown Creek,4/16/2011,13,no
Newtown Creek,4/16/2011,14,no
Newtown Creek,4/16/2011,15,no
Newtown Creek,4/16/2011,16,no
Newtown Creek,4/16/2011,17,no
Newtown Creek,4/16/2011,18,no
Newtown Creek,4/16/2011,19,no
Newtown Creek,4/16/2011,20,yes
Newtown Creek,4/16/2011,21,yes
Newtown Creek,4/16/2011,22,yes
