precipi,precipm,datetime
0.00,0.0,"2011-03-06 06:51:00"
0.01,0.3,"2011-03-06 08:51:00"
0.03,0.8,"2011-03-06 09:22:00"
0.03,0.8,"2011-03-06 09:30:00"
0.04,1.0,"2011-03-06 09:49:00"
0.04,1.0,"2011-03-06 09:51:00"
0.00,0.0,"2011-03-06 09:56:00"
0.03,0.8,"2011-03-06 10:51:00"
0.00,0.0,"2011-03-06 10:53:00"
0.02,0.5,"2011-03-06 11:07:00"
0.09,2.3,"2011-03-06 11:29:00"
0.11,2.8,"2011-03-06 11:44:00"
0.11,2.8,"2011-03-06 11:51:00"
0.03,0.8,"2011-03-06 12:31:00"
0.03,0.8,"2011-03-06 12:40:00"
0.05,1.3,"2011-03-06 12:51:00"
0.00,0.0,"2011-03-06 13:13:00"
0.02,0.5,"2011-03-06 13:22:00"
0.03,0.8,"2011-03-06 13:44:00"
0.03,0.8,"2011-03-06 13:51:00"
0.01,0.3,"2011-03-06 14:51:00"
0.02,0.5,"2011-03-06 15:07:00"
0.06,1.5,"2011-03-06 15:51:00"
0.02,0.5,"2011-03-06 16:01:00"
0.06,1.5,"2011-03-06 16:15:00"
0.13,3.3,"2011-03-06 16:30:00"
0.18,4.6,"2011-03-06 16:37:00"
0.34,8.6,"2011-03-06 16:51:00"
0.09,2.3,"2011-03-06 17:07:00"
0.13,3.3,"2011-03-06 17:14:00"
0.15,3.8,"2011-03-06 17:21:00"
0.19,4.8,"2011-03-06 17:38:00"
0.21,5.3,"2011-03-06 17:51:00"
0.05,1.3,"2011-03-06 18:12:00"
0.14,3.6,"2011-03-06 18:30:00"
0.19,4.8,"2011-03-06 18:40:00"
0.19,4.8,"2011-03-06 18:51:00"
0.03,0.8,"2011-03-06 19:27:00"
0.17,4.3,"2011-03-06 19:51:00"
0.08,2.0,"2011-03-06 20:09:00"
0.23,5.8,"2011-03-06 20:40:00"
0.30,7.6,"2011-03-06 20:51:00"
0.03,0.8,"2011-03-06 20:59:00"
0.08,2.0,"2011-03-06 21:06:00"
0.11,2.8,"2011-03-06 21:15:00"
0.23,5.8,"2011-03-06 21:41:00"
0.27,6.9,"2011-03-06 21:51:00"
0.05,1.3,"2011-03-06 22:07:00"
0.11,2.8,"2011-03-06 22:29:00"
0.12,3.0,"2011-03-06 22:37:00"
0.17,4.3,"2011-03-06 22:51:00"
0.00,0.0,"2011-03-06 23:01:00"
0.02,0.5,"2011-03-06 23:51:00"
0.01,0.3,"2011-03-07 00:19:00"
0.01,0.3,"2011-03-07 00:51:00"
0.00,0.0,"2011-03-07 01:02:00"
0.03,0.8,"2011-03-07 01:18:00"
0.07,1.8,"2011-03-07 01:28:00"
0.07,1.8,"2011-03-07 01:51:00"
0.01,0.3,"2011-03-07 02:43:00"
0.01,0.3,"2011-03-07 02:51:00"
0.00,0.0,"2011-03-07 03:17:00"
0.00,0.0,"2011-03-07 03:24:00"
0.00,0.0,"2011-03-07 03:42:00"
0.00,0.0,"2011-03-07 03:51:00"
0.01,0.3,"2011-04-16 14:42:00"
0.01,0.3,"2011-04-16 14:51:00"
0.01,0.3,"2011-04-16 15:02:00"
0.01,0.3,"2011-04-16 15:51:00"
0.02,0.5,"2011-04-16 16:16:00"
0.08,2.0,"2011-04-16 16:51:00"
0.02,0.5,"2011-04-16 17:06:00"
0.04,1.0,"2011-04-16 17:28:00"
0.04,1.0,"2011-04-16 17:41:00"
0.04,1.0,"2011-04-16 17:51:00"
0.05,1.3,"2011-04-16 18:51:00"
0.04,1.0,"2011-04-16 19:12:00"
0.16,4.1,"2011-04-16 19:35:00"
0.17,4.3,"2011-04-16 19:42:00"
0.18,4.6,"2011-04-16 19:51:00"
0.03,0.8,"2011-04-16 20:22:00"
0.05,1.3,"2011-04-16 20:33:00"
0.10,2.5,"2011-04-16 20:51:00"
0.04,1.0,"2011-04-16 21:01:00"
0.19,4.8,"2011-04-16 21:25:00"
0.23,5.8,"2011-04-16 21:36:00"
0.29,7.4,"2011-04-16 21:51:00"
0.02,0.5,"2011-04-16 21:57:00"
0.09,2.3,"2011-04-16 22:12:00"
0.15,3.8,"2011-04-16 22:19:00"
0.54,13.7,"2011-04-16 22:51:00"
0.03,0.8,"2011-04-16 22:58:00"
0.07,1.8,"2011-04-16 23:09:00"
0.14,3.6,"2011-04-16 23:51:00"
0.01,0.3,"2011-04-17 00:51:00"
0.02,0.5,"2011-04-17 01:09:00"
0.16,4.1,"2011-04-17 01:17:00"
0.18,4.6,"2011-04-17 01:20:00"
0.27,6.9,"2011-04-17 01:37:00"
0.28,7.1,"2011-04-17 01:42:00"
0.28,7.1,"2011-04-17 01:51:00"
0.01,0.3,"2011-04-17 02:03:00"
0.03,0.8,"2011-04-17 02:51:00"
0.02,0.5,"2011-04-17 03:51:00"
0.00,0.0,"2011-04-17 23:51:00"
0.21,5.3,"2011-05-17 07:47:00"
0.06,1.5,"2011-05-17 09:01:00"
0.09,2.3,"2011-05-17 09:11:00"
0.10,2.5,"2011-05-17 09:51:00"
0.01,0.3,"2011-05-17 10:51:00"
0.00,0.0,"2011-05-17 13:51:00"
0.00,0.0,"2011-05-17 14:51:00"
0.01,0.3,"2011-05-17 22:48:00"
0.01,0.3,"2011-05-17 22:51:00"
0.04,1.0,"2011-05-17 23:48:00"
0.05,1.3,"2011-05-17 23:51:00"
0.02,0.5,"2011-05-18 00:02:00"
